age,annual_income,loan_amount,loan_term_months,credit_score,employment_years,num_open_accounts,delinq_2yrs,revol_util,pub_records,purpose_score,home_ownership_score,default
50,44106.0,3718.0,36,725,10,0,1,121.0,0,8.0,1,0
31,10152.0,13143.0,36,588,9,5,0,150.0,3,6.0,1,0
42,26019.0,7476.0,60,728,5,2,1,55.0,1,7.0,1,0
21,44299.0,3600.0,36,606,13,1,2,150.0,1,7.0,1,0
46,80418.0,36475.0,36,535,14,20,6,150.0,2,6.0,2,0
44,84687.0,40517.0,36,566,4,19,5,150.0,3,5.0,1,0
23,30726.0,50000.0,36,452,1,12,3,150.0,2,8.0,1,0
43,19248.0,5188.0,36,722,11,10,1,150.0,0,4.0,1,1
27,75338.0,5953.0,36,615,1,4,7,150.0,3,6.0,2,0
33,67014.0,2935.0,36,783,3,0,5,150.0,1,5.0,1,0
33,26456.0,23239.0,60,563,5,10,1,150.0,1,8.0,2,0
34,22503.0,36847.0,60,850,1,2,0,66.0,0,7.0,1,1
46,38350.0,7475.0,60,692,10,1,0,35.0,0,7.0,1,0
62,20443.0,10883.0,36,772,8,7,3,39.0,0,7.0,1,1
37,58931.0,12673.0,36,850,3,2,7,127.0,0,5.0,1,0
29,33283.0,4386.0,60,570,23,3,0,150.0,1,9.0,2,0
52,45127.0,500.0,60,483,6,4,2,150.0,0,6.0,2,0
43,60411.0,7850.0,36,850,1,7,7,150.0,0,5.0,0,0
49,76157.0,32406.0,36,474,2,18,5,150.0,3,6.0,1,0
41,53040.0,14041.0,36,380,11,4,2,150.0,2,5.0,2,0
46,49799.0,2810.0,36,537,9,4,0,150.0,1,4.0,1,0
36,39366.0,6300.0,36,410,3,0,0,150.0,1,5.0,2,0
47,50153.0,708.0,36,382,8,1,1,100.0,1,6.0,1,0
46,80901.0,4898.0,36,576,3,10,6,150.0,2,3.0,2,0
48,33999.0,22085.0,36,676,1,3,1,78.0,0,7.0,2,0
21,90674.0,13154.0,60,467,3,11,3,38.0,3,4.0,1,0
34,39865.0,28260.0,60,556,4,8,2,150.0,2,7.0,2,0
63,22867.0,5070.0,36,550,4,1,3,150.0,1,5.0,2,0
30,63426.0,44613.0,36,409,5,14,0,136.0,2,8.0,1,0
50,37617.0,14241.0,36,362,3,3,1,150.0,0,4.0,2,0
36,70433.0,29392.0,36,431,8,12,2,113.0,3,7.0,1,0
48,49805.0,19672.0,36,718,15,12,6,147.0,1,4.0,1,0
45,29277.0,20333.0,60,767,0,0,2,150.0,1,6.0,1,0
42,33050.0,26646.0,36,543,1,1,1,150.0,0,5.0,1,0
45,32062.0,50000.0,36,519,32,6,1,130.0,2,8.0,1,0
18,22134.0,9145.0,60,757,1,2,3,33.0,2,8.0,1,0
37,47384.0,14710.0,60,411,1,8,2,53.0,1,6.0,1,0
34,28461.0,18357.0,60,665,15,12,2,150.0,0,6.0,1,0
28,32440.0,922.0,60,786,7,2,1,106.0,1,7.0,1,0
33,64264.0,11291.0,60,656,18,6,6,52.0,2,8.0,1,0
41,43268.0,24995.0,36,537,1,7,1,28.0,2,7.0,1,0
45,42460.0,32163.0,60,494,9,2,3,97.0,1,4.0,2,0
39,36264.0,30569.0,60,506,4,6,1,150.0,2,7.0,2,0
40,32786.0,4035.0,60,468,2,2,2,150.0,0,5.0,1,0
45,51371.0,24896.0,36,420,4,10,2,40.0,1,7.0,1,0
56,124211.0,41571.0,36,487,3,20,3,110.0,3,6.0,3,0
40,39460.0,1717.0,60,773,0,0,4,150.0,0,6.0,2,1
37,22087.0,15689.0,60,730,1,2,3,62.0,1,4.0,2,1
47,46686.0,3471.0,36,850,16,15,7,150.0,0,7.0,2,0
48,22728.0,3605.0,36,396,13,7,1,16.0,0,6.0,2,0
47,27442.0,652.0,36,560,10,1,0,139.0,1,4.0,2,0
51,29238.0,22766.0,36,372,8,4,1,114.0,1,7.0,3,0
44,66907.0,16801.0,60,850,16,7,3,150.0,0,5.0,2,0
38,36421.0,29393.0,60,580,2,8,0,150.0,1,7.0,2,0
18,52879.0,11257.0,60,716,4,2,6,150.0,1,6.0,0,0
31,39763.0,10857.0,60,682,2,1,2,149.0,0,6.0,1,0
42,25304.0,39899.0,36,464,1,8,1,150.0,1,7.0,1,0
38,40071.0,4314.0,60,532,0,2,1,69.0,1,4.0,2,0
29,51365.0,16931.0,36,502,9,2,4,52.0,2,8.0,2,0
34,39577.0,7902.0,36,850,2,5,4,9.0,1,6.0,1,0
25,31803.0,12722.0,36,640,12,0,0,150.0,1,7.0,1,0
36,65768.0,18446.0,36,575,4,12,5,11.0,2,4.0,2,0
33,52354.0,14743.0,36,489,1,9,1,102.0,0,7.0,1,0
43,13551.0,21747.0,60,659,8,6,2,150.0,3,6.0,2,0
55,29906.0,3932.0,60,704,9,5,2,150.0,1,7.0,1,0
52,25998.0,685.0,36,378,3,0,1,102.0,0,5.0,1,0
36,46425.0,19227.0,36,685,1,7,2,53.0,1,6.0,1,0
40,28241.0,22635.0,60,577,11,2,2,60.0,1,8.0,2,0
38,27301.0,7809.0,60,850,0,6,3,136.0,2,6.0,1,0
42,18216.0,22459.0,36,503,9,13,4,150.0,1,8.0,2,1
40,79759.0,8663.0,36,300,5,2,4,150.0,2,4.0,1,0
47,32849.0,4060.0,72,775,0,2,2,78.0,1,6.0,2,0
39,45594.0,9429.0,60,508,4,5,0,150.0,0,5.0,2,0
27,24510.0,1582.0,36,558,1,0,3,91.0,0,4.0,1,0
30,27320.0,20565.0,36,636,13,8,6,132.0,0,4.0,1,0
47,57986.0,13746.0,36,772,4,3,4,150.0,0,6.0,2,0
48,30508.0,8916.0,36,535,5,0,3,150.0,0,4.0,1,0
48,65816.0,6629.0,36,452,6,8,2,34.0,2,5.0,1,0
45,40551.0,14853.0,72,775,9,7,5,148.0,1,7.0,2,0
34,32747.0,26595.0,36,535,6,5,1,150.0,1,8.0,1,0
18,48294.0,11962.0,36,850,5,5,8,52.0,1,5.0,1,0
43,25664.0,15091.0,36,567,4,1,1,28.0,1,5.0,1,0
24,195541.0,14545.0,60,325,0,13,1,150.0,5,2.0,1,0
41,54945.0,15325.0,60,622,8,12,2,59.0,1,5.0,1,0
47,28787.0,1366.0,36,667,8,10,2,150.0,1,7.0,2,0
27,65455.0,18919.0,36,400,1,7,0,119.0,2,4.0,1,0
35,35095.0,14964.0,60,487,14,15,2,150.0,2,7.0,1,0
46,41256.0,3579.0,36,850,6,7,4,150.0,1,6.0,1,0
32,51609.0,9509.0,36,531,7,9,3,150.0,1,5.0,2,0
44,26493.0,2253.0,60,736,8,7,0,91.0,0,6.0,1,1
38,45201.0,20549.0,60,757,13,6,3,150.0,1,4.0,2,0
53,29398.0,50000.0,72,501,6,10,4,150.0,2,8.0,1,0
31,48268.0,21659.0,36,473,6,15,4,39.0,1,7.0,2,0
35,13129.0,14256.0,36,459,10,5,3,150.0,2,5.0,1,1
48,33271.0,2420.0,60,730,0,3,0,150.0,0,7.0,1,0
47,25913.0,10475.0,36,796,14,8,3,120.0,1,6.0,2,0
36,30520.0,5536.0,36,849,11,0,3,50.0,1,6.0,2,0
36,71614.0,16176.0,60,850,1,3,6,64.0,0,5.0,1,0
38,40698.0,2017.0,60,568,3,3,2,150.0,1,5.0,1,1
46,40425.0,6423.0,36,625,7,0,4,150.0,1,7.0,1,0
48,31210.0,20264.0,72,778,0,4,4,150.0,0,6.0,2,0
30,53937.0,1893.0,36,850,3,6,7,45.0,0,5.0,1,0
36,44823.0,16560.0,36,517,7,9,2,150.0,1,5.0,1,0
48,50098.0,29958.0,60,631,16,3,2,150.0,2,7.0,1,0
32,23551.0,38025.0,36,491,7,8,6,53.0,0,9.0,2,0
42,61849.0,15346.0,60,621,0,2,4,129.0,1,5.0,1,1
38,80530.0,500.0,36,500,11,13,2,150.0,1,5.0,1,0
45,25486.0,26765.0,36,500,4,4,2,1.0,0,7.0,1,0
32,34716.0,13290.0,72,522,12,6,4,150.0,0,5.0,2,0
46,56170.0,13320.0,36,471,2,5,4,150.0,1,4.0,1,0
32,33825.0,1852.0,36,811,2,5,5,18.0,1,6.0,2,0
52,46803.0,7625.0,72,850,5,7,7,150.0,1,5.0,2,0
24,24840.0,6902.0,36,731,4,5,3,132.0,1,6.0,2,0
42,53087.0,25326.0,60,664,8,1,3,139.0,2,7.0,1,0
39,24586.0,35104.0,36,657,12,8,4,150.0,1,6.0,1,0
39,36245.0,9049.0,36,652,11,7,4,65.0,0,4.0,2,0
42,65245.0,7684.0,60,433,7,10,1,149.0,1,7.0,2,0
43,37377.0,29871.0,36,572,7,10,1,150.0,1,6.0,1,0
52,60737.0,2314.0,72,430,2,8,2,150.0,2,4.0,1,0
43,32783.0,15739.0,60,578,16,6,2,150.0,0,4.0,2,0
45,51476.0,1008.0,36,640,14,2,2,150.0,1,8.0,1,0
40,27284.0,10822.0,36,573,5,4,4,150.0,1,5.0,2,1
57,93523.0,19029.0,60,300,11,9,2,54.0,3,5.0,1,0
44,28415.0,11855.0,36,542,2,1,1,150.0,0,5.0,2,0
50,34465.0,4730.0,36,670,21,7,1,129.0,0,9.0,1,0
58,50823.0,4946.0,36,514,3,5,4,63.0,1,4.0,2,0
39,40079.0,22392.0,36,331,5,4,2,150.0,1,7.0,2,0
47,69193.0,45592.0,36,610,16,20,6,150.0,2,5.0,1,0
28,12811.0,3916.0,36,524,1,4,1,150.0,2,6.0,1,0
28,36049.0,14350.0,60,644,7,6,6,100.0,0,5.0,1,0
52,49976.0,17325.0,60,671,16,3,4,150.0,2,6.0,2,0
46,42481.0,26166.0,60,709,9,0,1,52.0,1,6.0,1,0
27,37456.0,21302.0,60,707,19,15,6,91.0,0,5.0,1,0
32,28012.0,2410.0,36,710,15,3,1,150.0,0,9.0,1,0
64,23452.0,6872.0,36,618,9,1,5,149.0,1,4.0,2,0
35,26197.0,25580.0,36,678,2,1,1,145.0,0,7.0,2,0
45,32093.0,6248.0,36,643,0,3,3,150.0,0,8.0,1,0
46,28343.0,22963.0,36,665,5,1,2,150.0,0,6.0,1,0
32,34013.0,8090.0,60,707,14,6,2,60.0,0,7.0,2,0
44,96079.0,10694.0,60,388,6,11,1,150.0,2,4.0,2,0
33,44013.0,21325.0,36,512,5,7,1,150.0,1,6.0,2,0
45,37916.0,13566.0,36,653,6,2,2,150.0,1,7.0,2,0
47,48394.0,19408.0,36,594,10,2,5,40.0,2,6.0,1,0
29,45915.0,6946.0,36,542,4,6,5,150.0,1,4.0,1,0
22,23365.0,2380.0,36,536,11,1,2,150.0,1,5.0,1,0
