income,dti,credit_history,delinquencies,revolving_utilization,open_accounts,credit_card_limit,default
27447.47,0.111,10.48,5,0.218,11,8977.97,0
56901.15,0.369,5.84,2,0.398,9,9238.06,0
44313.4,0.422,8.09,1,0.451,10,20914.49,0
25000.0,0.106,10.51,1,0.374,8,12071.0,0
32777.25,0.301,5.88,1,0.518,11,10646.1,0
71539.34,0.352,5.97,0,0.199,9,15133.43,0
25000.0,0.242,8.53,1,0.343,9,17785.09,0
34540.25,0.131,10.04,1,0.224,7,7195.88,0
62509.74,0.22,8.17,1,0.504,8,5698.23,0
29632.91,0.123,3.44,1,0.32,6,17497.11,0
31646.72,0.137,9.65,1,0.409,13,13042.88,0
38826.25,0.129,4.84,1,0.277,9,2965.44,0
67642.14,0.316,0.5,2,0.346,3,7657.33,0
32092.71,0.177,10.42,1,0.411,8,10413.84,0
34358.55,0.282,2.98,1,0.444,7,10388.89,0
34474.56,0.233,9.99,1,0.342,5,14987.8,0
86861.97,0.087,9.88,1,0.317,6,18176.19,0
86281.9,0.408,5.88,1,0.281,13,3175.76,0
57034.91,0.274,8.55,2,0.245,1,17707.54,0
45943.39,0.325,8.99,2,0.817,3,16414.75,0
51952.18,0.264,2.16,0,0.358,4,14394.84,0
67626.57,0.064,6.6,2,0.39,5,10271.0,0
28924.9,0.213,7.63,2,0.133,3,4771.83,0
60569.1,0.175,3.58,0,0.353,3,15613.14,0
25877.83,0.419,4.87,0,0.803,12,21148.8,1
32105.64,0.213,10.2,2,0.662,3,8590.57,0
55132.07,0.325,9.09,2,0.175,2,20571.64,0
25000.0,0.175,5.5,0,0.622,3,9954.44,0
38214.72,0.071,2.81,3,0.223,2,18121.08,0
29684.66,0.355,0.5,0,0.579,1,9431.7,0
36700.04,0.084,5.97,0,0.625,1,9211.34,0
25000.0,0.119,10.64,4,0.484,13,15699.81,0
25000.0,0.269,6.13,2,0.225,1,12617.65,0
31415.07,0.295,9.34,0,0.423,8,13371.59,0
55526.29,0.334,10.3,0,0.109,4,9662.01,0
37768.38,0.069,12.22,3,0.331,8,14705.58,0
40174.83,0.384,5.04,2,0.72,13,15792.66,0
51066.19,0.156,4.45,1,0.451,11,19668.73,0
29500.49,0.158,8.66,2,0.218,2,10938.44,0
44323.47,0.103,4.14,1,0.483,9,9246.61,0
30276.34,0.261,8.75,0,0.243,13,19118.66,0
25000.0,0.246,7.15,2,0.44,12,4627.26,0
35002.86,0.063,3.9,1,0.302,8,7814.64,0
49061.61,0.359,12.14,3,0.264,8,1000.0,0
45184.35,0.033,1.86,2,0.662,2,8615.37,0
39969.0,0.135,2.35,1,0.649,13,17137.74,0
92718.92,0.187,7.25,0,0.406,11,3184.51,0
46375.16,0.257,14.28,0,0.399,10,14086.37,0
56531.74,0.095,5.15,0,0.534,7,9176.24,0
87846.84,0.137,4.92,0,0.576,7,19978.17,0
25516.23,0.27,7.93,2,0.222,11,3067.35,0
27901.18,0.116,5.22,2,0.302,10,9803.41,0
73887.52,0.402,5.7,3,0.517,2,15704.14,0
30353.83,0.163,11.12,1,0.164,3,8005.56,0
40553.98,0.286,8.48,2,0.32,8,17962.26,0
58352.68,0.172,8.05,0,0.286,2,3393.64,0
54816.54,0.153,7.0,2,0.746,1,3981.28,0
74177.06,0.153,1.35,0,0.243,3,1847.26,0
67742.93,0.047,4.02,1,0.351,13,10304.39,0
58354.25,0.256,2.37,1,0.52,7,14890.44,0
30624.39,0.257,7.82,1,0.815,3,10230.38,0
53008.2,0.205,6.57,1,0.589,4,12149.79,0
44801.42,0.159,8.4,0,0.394,12,4527.55,0
25230.46,0.213,13.02,1,0.707,10,8602.03,0
65910.61,0.262,8.14,0,0.688,9,4296.4,0
53238.27,0.191,2.63,3,0.36,4,16770.37,0
40778.96,0.11,5.62,0,0.422,10,10030.97,0
36990.55,0.329,10.16,3,0.725,7,12597.39,0
26386.15,0.169,8.94,1,0.412,11,4436.75,0
43037.77,0.274,8.58,0,0.389,8,17047.46,0
47285.25,0.348,3.25,3,0.23,12,19947.44,0
30004.29,0.311,3.92,1,0.564,9,7398.44,0
60280.95,0.269,10.55,0,0.6,10,12906.1,0
27336.52,0.315,3.1,2,0.23,3,18203.35,0
25000.0,0.458,6.67,2,0.444,2,21775.79,0
57751.49,0.235,5.53,2,0.145,9,10121.8,0
34850.47,0.375,3.46,1,0.473,10,5873.88,0
38402.95,0.378,9.14,2,0.434,3,15032.37,0
29937.56,0.111,9.97,1,0.41,13,13493.77,0
25000.0,0.27,10.9,1,0.301,7,3385.14,0
62276.1,0.07,4.44,0,0.098,1,19366.77,0
31536.34,0.048,3.73,2,0.591,1,16070.86,0
71778.0,0.27,5.23,1,0.499,13,7556.95,0
53239.61,0.195,7.55,1,0.203,6,13933.41,0
35948.21,0.187,7.19,2,0.441,2,4680.45,0
27444.86,0.139,11.98,1,0.514,3,6627.4,0
31058.83,0.167,11.2,2,0.204,6,16173.88,0
26255.14,0.158,6.61,3,0.42,4,3704.9,0
83323.81,0.15,6.81,1,0.465,2,18616.8,0
42512.54,0.031,4.81,1,0.394,8,10134.47,0
60028.33,0.361,8.26,2,0.48,4,13514.96,0
25756.1,0.041,7.42,1,0.177,5,12124.65,0
42760.17,0.422,7.61,3,0.592,1,12177.77,0
60612.21,0.092,6.51,1,0.208,9,12172.57,0
35694.3,0.288,9.62,1,0.427,11,10766.41,0
57577.67,0.091,6.02,2,0.374,2,12358.34,0
27457.68,0.425,11.57,2,0.436,6,14061.54,0
25000.0,0.356,1.58,3,0.132,5,9550.66,0
45834.4,0.281,9.2,2,0.337,7,15316.42,0
35146.78,0.26,5.9,3,0.59,6,11856.47,0
50247.65,0.299,4.45,1,0.797,11,16716.65,1
25000.0,0.193,10.34,1,0.41,13,11397.94,0
51497.71,0.233,2.92,0,0.387,3,1000.0,0
99648.71,0.056,6.35,1,0.164,7,19649.02,0
39790.4,0.101,7.44,1,0.684,2,4144.06,0
40617.32,0.163,11.49,1,0.398,4,17575.02,0
42737.94,0.221,7.93,0,0.244,10,13353.83,0
25000.0,0.196,1.1,2,0.436,11,14165.84,0
46590.47,0.178,12.32,2,0.618,4,11952.92,0
25000.0,0.184,9.1,1,0.386,11,18612.77,0
34555.16,0.292,7.47,2,0.372,12,11828.05,0
62007.11,0.22,9.42,3,0.162,7,20841.28,0
31028.89,0.211,7.73,1,0.335,7,16583.19,0
47831.38,0.08,5.45,2,0.601,3,22239.22,0
57208.55,0.089,4.06,1,0.353,13,15573.11,0
44247.73,0.248,0.97,2,0.201,3,14695.27,0
25000.0,0.197,2.26,1,0.43,8,12009.68,0
35725.99,0.317,6.02,0,0.249,3,10600.2,0
79681.6,0.071,5.75,0,0.36,9,6603.72,0
25000.0,0.412,6.81,0,0.148,3,9435.51,0
36441.91,0.146,7.69,1,0.746,6,14379.86,0
33082.58,0.372,1.6,2,0.203,8,10159.02,1
41867.35,0.403,8.15,1,0.393,4,7929.09,0
52149.79,0.251,2.34,2,0.126,10,12512.04,0
70477.01,0.074,6.81,3,0.682,5,16465.55,0
36512.82,0.095,8.94,0,0.267,2,11711.3,0
53333.48,0.204,5.01,2,0.411,6,16801.59,0
47806.13,0.122,0.5,2,0.499,10,13896.69,0
47383.13,0.158,6.14,0,0.464,3,20109.94,0
32946.05,0.115,5.55,0,0.456,13,15707.31,0
28309.07,0.262,3.78,1,0.119,3,3729.46,0
27309.36,0.136,5.38,0,0.811,1,13605.21,0
30799.29,0.124,6.07,0,0.552,9,10308.34,0
44917.84,0.268,7.32,3,0.186,7,11023.71,0
52382.73,0.128,5.0,0,0.296,3,15566.44,0
44945.87,0.236,5.39,2,0.577,4,7174.27,0
33119.11,0.2,6.14,0,0.573,13,8211.12,0
75515.22,0.08,10.01,2,0.545,13,11941.01,0
68295.76,0.202,9.51,0,0.76,12,11671.78,0
35457.85,0.204,4.34,2,0.368,10,20263.2,0
30085.51,0.394,8.86,3,0.324,6,1559.0,0
42006.31,0.218,9.79,2,0.584,7,8661.45,0
62539.56,0.078,5.29,3,0.269,7,9317.07,0
45092.34,0.379,6.55,1,0.56,2,4390.46,0
48766.17,0.277,9.19,0,0.535,1,1000.0,0
37263.59,0.021,7.32,0,0.303,3,13433.99,0
47084.3,0.101,6.71,2,0.387,3,8560.35,0
68912.34,0.241,4.54,3,0.172,1,6058.6,0
36905.5,0.243,3.8,0,0.624,7,15691.7,0
42199.25,0.325,8.12,4,0.627,5,13657.21,0
43863.41,0.33,5.49,1,0.516,1,18547.46,0
44324.99,0.092,10.38,0,0.807,8,15196.55,0
